,sr_id,error_codes,log_timestamp
0,1-153073514705,0,2014-08-24 04:41:41
1,1-153073514705,200002347,2014-08-24 04:41:48
2,1-153073514705,200002305,2014-08-24 04:41:48
3,1-153073514705,200302681,2014-08-24 04:41:48
4,1-153073514705,230020200,2014-08-24 04:41:49
5,1-153073514705,200002389,2014-08-24 04:41:51
6,1-153073514705,260140030,2014-08-24 04:41:51
7,1-153073514705,260140018,2014-08-24 04:41:51
8,1-153073514705,230018036,2014-08-24 04:41:51
9,1-153073514705,200002393,2014-08-24 04:41:59
10,1-153073514705,200002390,2014-08-24 04:41:59
11,1-153073514705,200002394,2014-08-24 04:42:07
12,1-153073514705,0,2014-08-24 04:42:35
13,1-153073514705,260140029,2014-08-24 04:42:37
14,1-153073514705,260140029,2014-08-24 04:42:37
15,1-153073514705,14160,2014-08-24 04:42:45
16,1-153073514705,200620012,2014-08-24 04:42:45
17,1-153073514705,200001804,2014-08-24 04:42:45
18,1-153073514705,200001830,2014-08-24 04:42:45
19,1-153073514705,200288002,2014-08-24 04:42:45
20,1-153073514705,200285063,2014-08-24 04:42:45
21,1-153073514705,14091,2014-08-24 04:42:46
22,1-153073514705,14091,2014-08-24 04:42:46
23,1-153073514705,200281001,2014-08-24 04:42:47
24,1-153073514705,200001803,2014-08-24 04:42:50
25,1-153073514705,200001810,2014-08-24 04:42:50
26,1-153073514705,200001810,2014-08-24 04:42:50
27,1-153073514705,200001830,2014-08-24 04:42:50
28,1-153073514705,200003405,2014-08-24 04:42:50
29,1-153073514705,200003403,2014-08-24 04:42:50
30,1-153073514705,200003404,2014-08-24 04:42:50
31,1-153073514705,200003402,2014-08-24 04:42:50
32,1-153073514705,200003405,2014-08-24 04:42:50
33,1-153073514705,200003403,2014-08-24 04:42:50
34,1-153073514705,200003404,2014-08-24 04:42:50
35,1-153073514705,200002792,2014-08-24 04:42:50
36,1-153073514705,245194,2014-08-24 04:42:50
37,1-153073514705,245191,2014-08-24 04:42:50
38,1-153073514705,200001804,2014-08-24 04:42:50
39,1-153073514705,200501530,2014-08-24 04:42:53
40,1-153073514705,200001830,2014-08-24 04:42:53
41,1-153073514705,200501536,2014-08-24 04:42:53
42,1-153073514705,200501534,2014-08-24 04:42:53
43,1-153073514705,200190000,2014-08-24 04:42:54
44,1-153073514705,200190000,2014-08-24 04:42:54
45,1-153073514705,200190000,2014-08-24 04:42:54
46,1-153073514705,290013000,2014-08-24 04:43:18
47,1-153073514705,260111019,2014-08-24 04:43:20
48,1-153073514705,260125003,2014-08-24 04:43:20
49,1-153073514705,260122038,2014-08-24 04:43:20
50,1-153073514705,260107218,2014-08-24 04:43:20
51,1-153073514705,260116315,2014-08-24 04:43:20
52,1-153073514705,260100095,2014-08-24 04:43:20
53,1-153073514705,260116316,2014-08-24 04:43:20
54,1-153073514705,260122022,2014-08-24 04:43:20
55,1-153073514705,200352909,2014-08-24 04:43:22
56,1-153073514705,200002379,2014-08-24 04:43:22
57,1-153073514705,290013001,2014-08-24 04:43:22
58,1-153073514705,260142511,2014-08-24 04:43:25
